id,level1_state0_dur,level1_state1_dur,level1_state2_dur,level2_state0_dur,level2_state1_dur,level2_state2_dur,level3_state0_dur,level3_state1_dur,level3_state2_dur,level4_state0_dur,level4_state1_dur,level4_state2_dur,level5_state0_dur,level5_state1_dur,level5_state2_dur,level6_state0_dur,level6_state1_dur,level6_state2_dur,level7_state0_dur,level7_state1_dur,level7_state2_dur,level8_state0_dur,level8_state1_dur,level8_state2_dur,level9_state0_dur,level9_state1_dur,level9_state2_dur,level10_state0_dur,level10_state1_dur,level10_state2_dur,level11_state0_dur,level11_state1_dur,level11_state2_dur
11639,3997,0,7997,5932,0,10988,8953,0,7996,17672,9978,7997,17889,9989,7996,16871,9979,7997,6725,0,7995,8943,7996,7997,8941,7996,7996,8942,7997,7996,8986,0,7996
11640,3998,0,7997,5931,0,10992,8954,0,7996,17679,9979,7997,17895,9979,7998,16961,9980,7997,6726,0,7996,8941,7997,7997,8942,7997,7997,8944,7997,7997,8986,0,7996
11646,3998,0,7998,5929,0,10994,8952,0,7997,17671,9979,7998,17791,9969,7996,16961,9978,7875,6705,0,7997,8943,7996,7996,8943,7998,7997,8943,7997,7996,8986,0,7997
11650,3995,0,7996,5930,0,10984,8953,0,7996,17677,9979,7996,17802,9980,7997,16966,9979,7997,6724,0,7997,8942,7997,7998,8943,7998,7998,8898,7895,7996,8986,0,7997
11651,3996,0,7997,5933,0,10987,8952,0,7996,17674,9979,7998,17892,9979,7997,16959,9981,7997,6726,0,7997,8941,7998,7996,8943,7996,7997,8944,7997,7997,8985,0,7997
11652,4003,0,7997,5933,0,10987,8952,0,7997,30481,9977,7763,17867,9980,7997,16962,9979,7997,6725,0,7997,8941,7997,7998,8933,7986,7996,8943,7997,7786,8710,0,7997
11653,3996,0,7997,5931,0,10985,8954,0,7997,17677,9980,7997,17891,9979,7997,16959,9979,7997,6724,0,7997,8942,7997,7997,8942,7997,7997,8943,7996,7998,8987,0,7997
11654,3999,0,7997,5934,0,10515,8933,0,7997,17685,9980,7974,17849,9979,7997,16949,9690,7997,6725,0,7997,8937,7997,7997,8643,7885,7996,8944,7996,7997,8988,0,7997
11655,3998,0,7996,5935,0,10992,8952,0,7996,17679,9980,7996,17848,9643,7997,16959,9979,7997,6725,0,7997,8940,7996,7996,8942,7997,7996,8941,7997,7996,8985,0,7996
11656,3999,0,7973,5881,0,10991,8952,0,7995,17655,9956,7996,17892,9978,7996,16960,9979,7997,6723,0,7997,8942,7996,7997,8819,7997,7996,8942,7995,7996,8985,0,7995
11657,3998,0,7996,5933,0,10993,8951,0,7997,17676,9990,7997,17892,9979,7996,16960,9979,7996,6725,0,7996,8940,7996,7996,8942,7996,7996,8941,7996,7996,8986,0,7997
11659,3993,0,7997,5929,0,10985,8952,0,7996,17676,9978,7996,17834,9855,7996,16954,9977,7996,6722,0,7997,8941,7996,7996,8942,7997,7997,8944,7997,7996,8985,0,7995
11660,3753,0,7895,5934,0,10993,8952,0,7996,14908,6015,7995,22907,4912,7998,15490,7639,7996,6724,0,7996,8943,7996,7996,8941,7996,7996,8943,7996,7996,8986,0,7996
